"Bill period end"|"Billdoc aax id"|"Sales partner aax id"|"Customer aax id"|"Customer id"|"Orderable product name"|"Base product name"|"Country code"|"Billable item id"|"Bill Documentnet amount"|"Amount"|"Amount perCustomer / region"
"31/10/2021"|"313394528"|"2000001090"|"2005006177"|"1001859"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000320331"|"11293902.56"|"20.16"|"84.67"
"31/10/2021"|"313394528"|"2000001090"|"2005006177"|"1001859"|"Toll Italy"|"Toll AV VENETE"|"IT"|"2021-0000000000320332"|"11293902.56"|"12.54"|"84.67"
"31/10/2021"|"313394528"|"2000001090"|"2005006177"|"1001859"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000321885"|"11293902.56"|"12.3"|"84.67"
"31/10/2021"|"313394528"|"2000001090"|"2005006177"|"1001859"|"Toll Italy"|"Toll AV VENETE"|"IT"|"2021-0000000000321886"|"11293902.56"|"39.67"|"84.67"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000303393"|"11293902.56"|"20.66"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BREBEMI"|"IT"|"2021-0000000000303394"|"11293902.56"|"25.08"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000305021"|"11293902.56"|"31.23"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000305022"|"11293902.56"|"46.64"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000305023"|"11293902.56"|"13.85"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll AV VENETE"|"IT"|"2021-0000000000305024"|"11293902.56"|"17.05"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll CAV"|"IT"|"2021-0000000000305025"|"11293902.56"|"11.39"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000312329"|"11293902.56"|"1.97"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000312330"|"11293902.56"|"26.23"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000312331"|"11293902.56"|"19.18"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000315746"|"11293902.56"|"26.23"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000321301"|"11293902.56"|"26.23"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2005273016"|"1001919"|"Toll Italy"|"Toll BREBEMI"|"IT"|"2021-0000000000321302"|"11293902.56"|"20.41"|"286.15"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000311040"|"11293902.56"|"27.95"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000312538"|"11293902.56"|"10.82"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll ATCN"|"IT"|"2021-0000000000312541"|"11293902.56"|"3.61"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll BREBEMI"|"IT"|"2021-0000000000312542"|"11293902.56"|"8.28"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll TZ ESTERNA"|"IT"|"2021-0000000000312543"|"11293902.56"|"21.89"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000315990"|"11293902.56"|"26.23"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2006176939"|"1002098"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000315991"|"11293902.56"|"10.82"|"109.6"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000303815"|"11293902.56"|"47.13"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll ATCN"|"IT"|"2021-0000000000305561"|"11293902.56"|"5.49"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll AV VENETE"|"IT"|"2021-0000000000305562"|"11293902.56"|"78.28"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000320209"|"11293902.56"|"30.25"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000321772"|"11293902.56"|"45"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2002974571"|"1001340"|"Toll Italy"|"Toll ATCN"|"IT"|"2021-0000000000321773"|"11293902.56"|"6.39"|"212.54"
"31/10/2021"|"313394528"|"2000001090"|"2003354083"|"1001460"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000316466"|"11293902.56"|"32.95"|"120.9"
"31/10/2021"|"313394528"|"2000001090"|"2003354083"|"1001460"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000318469"|"11293902.56"|"27.87"|"120.9"
"31/10/2021"|"313394528"|"2000001090"|"2003354083"|"1001460"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000318470"|"11293902.56"|"57.54"|"120.9"
"31/10/2021"|"313394528"|"2000001090"|"2003354083"|"1001460"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000320365"|"11293902.56"|"2.54"|"120.9"
"31/10/2021"|"313394528"|"2000001090"|"2003767744"|"1001583"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000307314"|"11293902.56"|"34.51"|"231.48"
"31/10/2021"|"313394528"|"2000001090"|"2003767744"|"1001583"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000307315"|"11293902.56"|"17.38"|"231.48"
"31/10/2021"|"313394528"|"2000001090"|"2003767744"|"1001583"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000321525"|"11293902.56"|"61.07"|"231.48"
"31/10/2021"|"313394528"|"2000001090"|"2003767744"|"1001583"|"Toll Italy"|"Toll AV VENETE"|"IT"|"2021-0000000000321526"|"11293902.56"|"118.52"|"231.48"
"31/10/2021"|"313394528"|"2000001090"|"2014966257"|"1003243"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000303836"|"11293902.56"|"11.15"|"58.78"
"31/10/2021"|"313394528"|"2000001090"|"2014966257"|"1003243"|"Toll Italy"|"Toll SATAP"|"IT"|"2021-0000000000303837"|"11293902.56"|"14.1"|"58.78"
"31/10/2021"|"313394528"|"2000001090"|"2014966257"|"1003243"|"Toll Italy"|"Toll ATIVA"|"IT"|"2021-0000000000303838"|"11293902.56"|"1.64"|"58.78"
"31/10/2021"|"313394528"|"2000001090"|"2014966257"|"1003243"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000305594"|"11293902.56"|"31.89"|"58.78"
"31/10/2021"|"313394528"|"2000001090"|"2016022824"|"1003397"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000305042"|"11293902.56"|"96.89"|"183.22"
"31/10/2021"|"313394528"|"2000001090"|"2016022824"|"1003397"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000305043"|"11293902.56"|"3.3"|"183.22"
"31/10/2021"|"313394528"|"2000001090"|"2016022824"|"1003397"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000307050"|"11293902.56"|"50.08"|"183.22"
"31/10/2021"|"313394528"|"2000001090"|"2016022824"|"1003397"|"Toll Italy"|"Toll BRENNERO"|"IT"|"2021-0000000000310793"|"11293902.56"|"32.95"|"183.22"
"31/10/2021"|"313394528"|"2000001090"|"2025308258"|"1004615"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000312380"|"11293902.56"|"63.36"|"260.33"
"31/10/2021"|"313394528"|"2000001090"|"2025308258"|"1004615"|"Toll Italy"|"Toll ASPI"|"IT"|"2021-0000000000315800"|"11293902.56"|"62.46"|"260.33"
