"DocumentName"|"Venice Invoice No"|"AAX Customer ID"|"Bill document number"|"Service Country"|"Invoice Issue Date"|"Billing Period from"|"Billing Period to"|"Sales Partner ID"|"Payment Reference"|"Total Net"|"Total Gross"|"Currency"
"I21009112.pdf"|"BE21_209111"|"1001441"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009114.pdf"|"BE21_209113"|"1001660"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009115.pdf"|"BE21_209114"|"1001712"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|1725,78|2088,19|"EUR"
"I21009116.pdf"|"BE21_209115"|"1001888"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009117.pdf"|"BE21_209116"|"1002872"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|117,00|141,57|"EUR"
"I21009118.pdf"|"BE21_209117"|"1003080"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|210,60|254,83|"EUR"
"I21009123.pdf"|"BE21_209122"|"1004157"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|23,40|28,31|"EUR"
"I21009126.pdf"|"BE21_209125"|"1004340"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|58,50|70,79|"EUR"
"I21009132.pdf"|"BE21_209131"|"1004485"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009157.pdf"|"BE21_209156"|"1004996"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|23,40|28,31|"EUR"
"I21009161.pdf"|"BE21_209160"|"1005074"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|70,20|84,94|"EUR"
"I21009194.pdf"|"BE21_209193"|"1006006"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009207.pdf"|"BE21_209206"|"1006312"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009210.pdf"|"BE21_209209"|"1006393"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|26,34|31,87|"EUR"
"I21009243.pdf"|"BE21_209242"|"1007430"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|35,10|42,47|"EUR"
"I21009254.pdf"|"BE21_209253"|"1008035"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009274.pdf"|"BE21_209273"|"1008777"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009289.pdf"|"BE21_209288"|"1009986"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009303.pdf"|"BE21_209302"|"1010504"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009317.pdf"|"BE21_209316"|"1011258"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009319.pdf"|"BE21_209318"|"1011436"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009322.pdf"|"BE21_209321"|"1011810"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009323.pdf"|"BE21_209322"|"1011873"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009335.pdf"|"BE21_209334"|"1012596"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|131,64|159,28|"EUR"
"I21009345.pdf"|"BE21_209344"|"1013384"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|35,16|42,54|"EUR"
"I21009368.pdf"|"BE21_209367"|"1014776"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|26,34|31,87|"EUR"
"I21009404.pdf"|"BE21_209403"|"1016398"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009409.pdf"|"BE21_209408"|"1016534"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009429.pdf"|"BE21_209428"|"1017278"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|38,04|46,03|"EUR"
"I21009444.pdf"|"BE21_209443"|"1018078"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009470.pdf"|"BE21_209469"|"1019026"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009527.pdf"|"BE21_209526"|"1021572"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|23,40|28,31|"EUR"
"I21009540.pdf"|"BE21_209539"|"1022639"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|46,80|56,63|"EUR"
"I21009542.pdf"|"BE21_209541"|"1022754"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009570.pdf"|"BE21_209569"|"1024242"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
"I21009599.pdf"|"BE21_209598"|"1025657"|"313394528"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000001090"|"313394528BE"|11,70|14,16|"EUR"
